SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,SARZEDO (07L/13U),,SARZEDO (07L/13U),,SEDA (19K/01UG),,SEDA (19K/01UG),,SEIA (11K/01UG),,SEIA (11K/01UG),,SEIXAS (EX. PORTUZELO) (03H/04G),,SEIXAS (EX. PORTUZELO) (03H/04G),,SEJÃES (OLIVEIRA DE FRADES) (09H/02UG),,SEJÃES (OLIVEIRA DE FRADES) (09H/02UG),,SENDAS (04P/03UG),,SENDAS (04P/03UG),,SENHORA GRAÇA DOS PADRÕES (28J/04U),,SENHORA GRAÇA DOS PADRÕES (28J/04U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
22/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
23/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
24/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
25/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
26/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
27/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
28/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
29/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
30/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
01/10/1985 09:00,0,(vco),,,0,(vco),,,0.3,(vco),,,,,,,,,,,,,,,,,,,
02/10/1985 09:00,2.2,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
03/10/1985 09:00,10.7,(vco),,,0,(vco),,,4.1,(vco),,,,,,,,,,,,,,,,,,,
04/10/1985 09:00,0,(vco),,,7.2,(vco),,,6.7,(vco),,,,,,,,,,,,,,,,,,,
05/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
06/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
07/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
08/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
09/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
10/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
11/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
12/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
13/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
14/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
15/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
16/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
17/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
18/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
19/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
20/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
21/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
22/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
23/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
24/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
25/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
26/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
27/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
28/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
29/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
30/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
31/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
01/11/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
02/11/1985 09:00,6.1,(vco),,,9.3,(vco),,,18.5,(vco),,,,,,,,,,,,,,,,,,,
03/11/1985 09:00,6,(vco),,,0,(vco),,,2.1,(vco),,,,,,,,,,,,,,,,,,,
04/11/1985 09:00,27.2,(vco),,,10,(vco),,,29,(vco),,,,,,,,,,,,,,,,,,,
05/11/1985 09:00,9.5,(vco),,,17.3,(vco),,,10.2,(vco),,,,,,,,,,,,,,,,,,,
06/11/1985 09:00,15.5,(vco),,,0,(vco),,,21,(vco),,,,,,,,,,,,,,,,,,,
07/11/1985 09:00,0,(vco),,,0,(vco),,,1,(vco),,,,,,,,,,,,,,,,,,,
08/11/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
09/11/1985 09:00,0.4,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
10/11/1985 09:00,5.8,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
11/11/1985 09:00,11.3,(vco),,,0,(vco),,,23.3,(vco),,,,,,,,,,,,,,,,,,,
12/11/1985 09:00,24.1,(vco),,,11,(vco),,,15,(vco),,,,,,,,,,,,,,,,,,,
13/11/1985 09:00,2,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
14/11/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
