SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
11/11/1985 09:00,,,0,(vco),,,,,,,5.3,(vco),,,,,
12/11/1985 09:00,,,2.6,(vco),,,,,,,43.3,(vco),,,,,
13/11/1985 09:00,,,0.9,(vco),,,,,,,0,(vco),,,,,
14/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
15/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
16/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
17/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
18/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
19/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
20/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
21/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
22/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
23/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
24/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
25/11/1985 09:00,,,0,(vco),,,,,,,3.6,(vco),,,,,
26/11/1985 09:00,,,25.6,(vco),,,,,,,36.2,(vco),,,,,
27/11/1985 09:00,,,6.8,(vco),,,,,,,19.5,(vco),,,,,
28/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
29/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
30/11/1985 09:00,,,0,(vco),,,,,,,5.2,(vco),,,,,
01/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
02/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
03/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
