SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ABRIGADA (19C/03G),,ABRIGADA (19C/03G),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
02/06/1992 09:00,0,(vco),,,
03/06/1992 09:00,0.2,(vco),,,
04/06/1992 09:00,0,(vco),,,
05/06/1992 09:00,0,(vco),,,
06/06/1992 09:00,0,(vco),,,
07/06/1992 09:00,0,(vco),,,
08/06/1992 09:00,1.5,(vco),,,
09/06/1992 09:00,1.8,(vco),,,
10/06/1992 09:00,0.8,(vco),,,
11/06/1992 09:00,0,(vco),,,
12/06/1992 09:00,2.7,(vco),,,
13/06/1992 09:00,0,(vco),,,
14/06/1992 09:00,4.2,(vco),,,
15/06/1992 09:00,4.6,(vco),,,
16/06/1992 09:00,1.1,(vco),,,
17/06/1992 09:00,0,(vco),,,
18/06/1992 09:00,0,(vco),,,
19/06/1992 09:00,0,(vco),,,
20/06/1992 09:00,0,(vco),,,
21/06/1992 09:00,0,(vco),,,
22/06/1992 09:00,0,(vco),,,
23/06/1992 09:00,0,(vco),,,
24/06/1992 09:00,0,(vco),,,
25/06/1992 09:00,0,(vco),,,
26/06/1992 09:00,0,(vco),,,
27/06/1992 09:00,0,(vco),,,
28/06/1992 09:00,0,(vco),,,
29/06/1992 09:00,0,(vco),,,
30/06/1992 09:00,0,(vco),,,
01/07/1992 09:00,0,(vco),,,
02/07/1992 09:00,0,(vco),,,
03/07/1992 09:00,0,(vco),,,
04/07/1992 09:00,0,(vco),,,
05/07/1992 09:00,0,(vco),,,
06/07/1992 09:00,0,(vco),,,
07/07/1992 09:00,0,(vco),,,
08/07/1992 09:00,0,(vco),,,
09/07/1992 09:00,0,(vco),,,
