SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ROSMANINHAL (15O/01UG),,ROSMANINHAL (15O/01UG),,ROSÁRIO (ALMODÔVAR) (28I/02U),,ROSÁRIO (ALMODÔVAR) (28I/02U),,ROSÁRIO (CAPELINS) (22M/03UG),,ROSÁRIO (CAPELINS) (22M/03UG),,SABÓIA (29G/01UG),,SABÓIA (29G/01UG),,SACAVÉM DE CIMA (21C/01U),,SACAVÉM DE CIMA (21C/01U),,SALAMONDE (03I/09UG),,SALAMONDE (03I/09UG),,SALIR (30I/03UG),,SALIR (30I/03UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
07/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
08/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
09/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
10/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,2.5,(vco),,,,,,,0,(vco),,,
11/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
12/09/1985 09:00,0,(vco),,,0,(vco),,,0.1,(vco),,,1,(vco),,,0,(vco),,,,,,,0,(vco),,,
13/09/1985 09:00,0,(vco),,,2,(vco),,,0.5,(vco),,,0.2,(vco),,,0,(vco),,,,,,,0,(vco),,,
14/09/1985 09:00,2,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
15/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
16/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
17/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
18/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
19/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
20/09/1985 09:00,0,(vco),,,56.2,(vco),,,0,(vco),,,1,(vco),,,0,(vco),,,,,,,0,(vco),,,
21/09/1985 09:00,0,(vco),,,0,(vco),,,5.1,(vco),,,1,(vco),,,0,(vco),,,,,,,0,(vco),,,
22/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
23/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
24/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
25/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
26/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
27/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
28/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
29/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
30/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
01/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
02/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
03/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
04/10/1985 09:00,2.5,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
05/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
06/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
07/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
08/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
09/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
