SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALVORNINHA (17C/06G),,ALVORNINHA (17C/06G),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
12/08/1986 09:00,0,(vco),,,
13/08/1986 09:00,0,(vco),,,
14/08/1986 09:00,0,(vco),,,
15/08/1986 09:00,0,(vco),,,
16/08/1986 09:00,0,(vco),,,
17/08/1986 09:00,0,(vco),,,
18/08/1986 09:00,0.6,(vco),,,
19/08/1986 09:00,0,(vco),,,
20/08/1986 09:00,0,(vco),,,
21/08/1986 09:00,0,(vco),,,
22/08/1986 09:00,0,(vco),,,
23/08/1986 09:00,0,(vco),,,
24/08/1986 09:00,0,(vco),,,
25/08/1986 09:00,0,(vco),,,
26/08/1986 09:00,1.7,(vco),,,
27/08/1986 09:00,0,(vco),,,
28/08/1986 09:00,0,(vco),,,
29/08/1986 09:00,0,(vco),,,
30/08/1986 09:00,0,(vco),,,
31/08/1986 09:00,0,(vco),,,
01/09/1986 09:00,0,(vco),,,
02/09/1986 09:00,0,(vco),,,
03/09/1986 09:00,0,(vco),,,
04/09/1986 09:00,0,(vco),,,
05/09/1986 09:00,0,(vco),,,
06/09/1986 09:00,0,(vco),,,
07/09/1986 09:00,0,(vco),,,
08/09/1986 09:00,0,(vco),,,
09/09/1986 09:00,20,(vco),,,
10/09/1986 09:00,6.3,(vco),,,
11/09/1986 09:00,4,(vco),,,
12/09/1986 09:00,0.7,(vco),,,
13/09/1986 09:00,0,(vco),,,
14/09/1986 09:00,0,(vco),,,
15/09/1986 09:00,9,(vco),,,
16/09/1986 09:00,32,(vco),,,
17/09/1986 09:00,0,(vco),,,
18/09/1986 09:00,0,(vco),,,
19/09/1986 09:00,0,(vco),,,
20/09/1986 09:00,0,(vco),,,
21/09/1986 09:00,0.6,(vco),,,
22/09/1986 09:00,0,(vco),,,
23/09/1986 09:00,4.1,(vco),,,
24/09/1986 09:00,0,(vco),,,
25/09/1986 09:00,0,(vco),,,
26/09/1986 09:00,0,(vco),,,
27/09/1986 09:00,0,(vco),,,
28/09/1986 09:00,0,(vco),,,
29/09/1986 09:00,0,(vco),,,
30/09/1986 09:00,0,(vco),,,
01/10/1986 09:00,0,(vco),,,
02/10/1986 09:00,0,(vco),,,
03/10/1986 09:00,0,(vco),,,
04/10/1986 09:00,0,(vco),,,
05/10/1986 09:00,0,(vco),,,
06/10/1986 09:00,0,(vco),,,
07/10/1986 09:00,0,(vco),,,
08/10/1986 09:00,0,(vco),,,
09/10/1986 09:00,0,(vco),,,
10/10/1986 09:00,0,(vco),,,
11/10/1986 09:00,0,(vco),,,
12/10/1986 09:00,3.2,(vco),,,
13/10/1986 09:00,0.7,(vco),,,
14/10/1986 09:00,0.3,(vco),,,
15/10/1986 09:00,14.1,(vco),,,
16/10/1986 09:00,0,(vco),,,
17/10/1986 09:00,0,(vco),,,
18/10/1986 09:00,0,(vco),,,
19/10/1986 09:00,0,(vco),,,
20/10/1986 09:00,0,(vco),,,
21/10/1986 09:00,0,(vco),,,
22/10/1986 09:00,0,(vco),,,
23/10/1986 09:00,5.1,(vco),,,
24/10/1986 09:00,4,(vco),,,
25/10/1986 09:00,9.3,(vco),,,
26/10/1986 09:00,0,(vco),,,
27/10/1986 09:00,0,(vco),,,
28/10/1986 09:00,0,(vco),,,
29/10/1986 09:00,0,(vco),,,
30/10/1986 09:00,0,(vco),,,
31/10/1986 09:00,0,(vco),,,
01/11/1986 09:00,0,(vco),,,
02/11/1986 09:00,0,(vco),,,
03/11/1986 09:00,0,(vco),,,
04/11/1986 09:00,0,(vco),,,
05/11/1986 09:00,0,(vco),,,
06/11/1986 09:00,0,(vco),,,
07/11/1986 09:00,0,(vco),,,
08/11/1986 09:00,0.5,(vco),,,
09/11/1986 09:00,0,(vco),,,
10/11/1986 09:00,0,(vco),,,
11/11/1986 09:00,42.3,(vco),,,
12/11/1986 09:00,17,(vco),,,
13/11/1986 09:00,20.8,(vco),,,
14/11/1986 09:00,14.1,(vco),,,
15/11/1986 09:00,8.5,(vco),,,
16/11/1986 09:00,0,(vco),,,
17/11/1986 09:00,0.5,(vco),,,
18/11/1986 09:00,0,(vco),,,
19/11/1986 09:00,0,(vco),,,
20/11/1986 09:00,1,(vco),,,
21/11/1986 09:00,0.4,(vco),,,
22/11/1986 09:00,4.2,(vco),,,
23/11/1986 09:00,3.2,(vco),,,
24/11/1986 09:00,0,(vco),,,
25/11/1986 09:00,0,(vco),,,
26/11/1986 09:00,0,(vco),,,
27/11/1986 09:00,0,(vco),,,
28/11/1986 09:00,0,(vco),,,
29/11/1986 09:00,0,(vco),,,
30/11/1986 09:00,0,(vco),,,
01/12/1986 09:00,0,(vco),,,
02/12/1986 09:00,0,(vco),,,
03/12/1986 09:00,0,(vco),,,
04/12/1986 09:00,0,(vco),,,
05/12/1986 09:00,0,(vco),,,
06/12/1986 09:00,0,(vco),,,
07/12/1986 09:00,0.5,(vco),,,
08/12/1986 09:00,19,(vco),,,
09/12/1986 09:00,0.9,(vco),,,
10/12/1986 09:00,0,(vco),,,
11/12/1986 09:00,0,(vco),,,
12/12/1986 09:00,1.5,(vco),,,
13/12/1986 09:00,2.3,(vco),,,
14/12/1986 09:00,19.7,(vco),,,
15/12/1986 09:00,5,(vco),,,
16/12/1986 09:00,1.1,(vco),,,
17/12/1986 09:00,0,(vco),,,
18/12/1986 09:00,0,(vco),,,
19/12/1986 09:00,0,(vco),,,
20/12/1986 09:00,2.2,(vco),,,
21/12/1986 09:00,2.4,(vco),,,
22/12/1986 09:00,2,(vco),,,
23/12/1986 09:00,0,(vco),,,
24/12/1986 09:00,0,(vco),,,
25/12/1986 09:00,0,(vco),,,
26/12/1986 09:00,0,(vco),,,
27/12/1986 09:00,0,(vco),,,
28/12/1986 09:00,0,(vco),,,
29/12/1986 09:00,0,(vco),,,
30/12/1986 09:00,0,(vco),,,
31/12/1986 09:00,0,(vco),,,
01/01/1987 09:00,0,(vco),,,
02/01/1987 09:00,2,(vco),,,
03/01/1987 09:00,0,(vco),,,
04/01/1987 09:00,0,(vco),,,
05/01/1987 09:00,0,(vco),,,
06/01/1987 09:00,0,(vco),,,
07/01/1987 09:00,0,(vco),,,
08/01/1987 09:00,3.1,(vco),,,
09/01/1987 09:00,1.2,(vco),,,
10/01/1987 09:00,40,(vco),,,
11/01/1987 09:00,0,(vco),,,
12/01/1987 09:00,13.5,(vco),,,
13/01/1987 09:00,15,(vco),,,
14/01/1987 09:00,1.9,(vco),,,
15/01/1987 09:00,3,(vco),,,
16/01/1987 09:00,1.9,(vco),,,
17/01/1987 09:00,0,(vco),,,
18/01/1987 09:00,0,(vco),,,
19/01/1987 09:00,0,(vco),,,
20/01/1987 09:00,0,(vco),,,
21/01/1987 09:00,0,(vco),,,
22/01/1987 09:00,0,(vco),,,
23/01/1987 09:00,0,(vco),,,
24/01/1987 09:00,0,(vco),,,
25/01/1987 09:00,1.5,(vco),,,
26/01/1987 09:00,7.1,(vco),,,
27/01/1987 09:00,11.3,(vco),,,
28/01/1987 09:00,5,(vco),,,
29/01/1987 09:00,11,(vco),,,
30/01/1987 09:00,6.2,(vco),,,
31/01/1987 09:00,4.5,(vco),,,
01/02/1987 09:00,0,(vco),,,
02/02/1987 09:00,17,(vco),,,
03/02/1987 09:00,4,(vco),,,
04/02/1987 09:00,0,(vco),,,
05/02/1987 09:00,0,(vco),,,
06/02/1987 09:00,0,(vco),,,
